level,gen,Efetivo,Comissionado,Terceirizado,Temporário,total,uf,mes,ano,var
Médicos/as - psiquiatras,Total,12,1,5,6,24,ba,dez,2014,psico
Psicólogos/as,Total,15,4,10,27,56,ba,jun,2014,psico
Médicos/as - psiquiatras,Total,9,1,6,9,25,ba,jun,2014,psico
Psicólogos/as,Total,10,1,8,32,51,ba,dez,2015,psico
Médicos/as - psiquiatras,Total,7,0,4,4,15,ba,dez,2015,psico
Psicólogos/as,Total,10,3,17,19,49,ba,dez,2016,psico
Médicos/as - psiquiatras,Total,8,0,5,11,24,ba,dez,2016,psico
Psicólogos/as,Total,10,1,8,32,51,ba,jun,2016,psico
Médicos/as - psiquiatras,Total,7,0,4,4,15,ba,jun,2016,psico
Psicólogos/as,Total,18,1,29,7,55,ba,dez,2017,psico
Médicos/as - psiquiatras,Total,11,0,23,0,34,ba,dez,2017,psico
Psicólogos/as,Total,18,1,10,14,43,ba,jun,2017,psico
Médicos/as - psiquiatras,Total,11,0,4,5,20,ba,jun,2017,psico
Psicólogos/as,Total,8,0,50,4,62,ba,dez,2018,psico
Médicos/as - psiquiatras,Total,7,0,30,0,37,ba,dez,2018,psico
Psicólogos/as,Total,8,0,51,6,65,ba,jun,2018,psico
Médicos/as - psiquiatras,Total,7,0,27,0,34,ba,jun,2018,psico
Psicólogos/as,Total,8,2,54,0,64,ba,dez,2019,psico
Médicos/as - psiquiatras,Total,3,0,15,1,19,ba,dez,2019,psico
Psicólogos/as,Total,9,0,49,3,61,ba,jun,2019,psico
Médicos/as - psiquiatras,Total,4,0,16,0,20,ba,jun,2019,psico
Psicólogos/as,Total,8,0,63,0,71,ba,dez,2020,psico
Médicos/as - psiquiatras,Total,6,0,33,0,39,ba,dez,2020,psico
Psicólogos/as,Total,8,0,53,4,65,ba,jun,2020,psico
Médicos/as - psiquiatras,Total,6,0,32,0,38,ba,jun,2020,psico
Psicólogos/as,Total,0,0,13,0,13,ce,dez,2014,psico
Médicos/as - psiquiatras,Total,2,0,3,0,5,ce,dez,2014,psico
Psicólogos/as,Total,2,1,8,0,11,ce,jun,2014,psico
Médicos/as - psiquiatras,Total,2,0,6,0,8,ce,jun,2014,psico
Psicólogos/as,Total,1,0,15,0,16,ce,dez,2015,psico
Médicos/as - psiquiatras,Total,1,0,5,0,6,ce,dez,2015,psico
Psicólogos/as,Total,1,0,17,0,18,ce,dez,2016,psico
Médicos/as - psiquiatras,Total,1,0,5,0,6,ce,dez,2016,psico
Psicólogos/as,Total,1,0,15,0,16,ce,jun,2016,psico
Médicos/as - psiquiatras,Total,1,0,5,0,6,ce,jun,2016,psico
Psicólogos/as,Total,0,0,15,0,15,ce,dez,2017,psico
Médicos/as - psiquiatras,Total,2,0,4,0,6,ce,dez,2017,psico
Psicólogos/as,Total,0,0,14,0,14,ce,jun,2017,psico
Médicos/as - psiquiatras,Total,2,0,2,0,4,ce,jun,2017,psico
Psicólogos/as,Total,1,0,16,1,18,ce,dez,2018,psico
Médicos/as - psiquiatras,Total,2,0,2,0,4,ce,dez,2018,psico
Psicólogos/as,Total,2,0,15,0,17,ce,jun,2018,psico
Médicos/as - psiquiatras,Total,2,0,2,0,4,ce,jun,2018,psico
Psicólogos/as,Total,0,0,17,0,17,ce,dez,2019,psico
Médicos/as - psiquiatras,Total,1,0,7,0,8,ce,dez,2019,psico
Psicólogos/as,Total,0,0,17,0,17,ce,jun,2019,psico
Médicos/as - psiquiatras,Total,0,0,7,0,7,ce,jun,2019,psico
Psicólogos/as,Total,1,1,17,0,19,ce,dez,2020,psico
Médicos/as - psiquiatras,Total,0,0,4,0,4,ce,dez,2020,psico
Psicólogos/as,Total,0,0,19,0,19,ce,jun,2020,psico
Médicos/as - psiquiatras,Total,0,0,2,0,2,ce,jun,2020,psico
Psicólogos/as,Total,15,0,0,0,15,df,dez,2014,psico
Médicos/as - psiquiatras,Total,5,0,0,0,5,df,dez,2014,psico
Psicólogos/as,Total,16,1,0,0,17,df,jun,2014,psico
Médicos/as - psiquiatras,Total,3,0,0,0,3,df,jun,2014,psico
Psicólogos/as,Total,15,0,0,0,15,df,dez,2015,psico
Médicos/as - psiquiatras,Total,3,0,0,0,3,df,dez,2015,psico
Psicólogos/as,Total,15,0,0,0,15,df,dez,2016,psico
Médicos/as - psiquiatras,Total,4,0,0,0,4,df,dez,2016,psico
Psicólogos/as,Total,15,0,0,0,15,df,jun,2016,psico
Médicos/as - psiquiatras,Total,3,0,0,0,3,df,jun,2016,psico
Psicólogos/as,Total,16,0,0,0,16,df,dez,2017,psico
Médicos/as - psiquiatras,Total,5,0,0,0,5,df,dez,2017,psico
Psicólogos/as,Total,16,0,0,0,16,df,jun,2017,psico
Médicos/as - psiquiatras,Total,5,0,0,0,5,df,jun,2017,psico
Psicólogos/as,Total,14,0,0,0,14,df,dez,2018,psico
Médicos/as - psiquiatras,Total,5,0,0,0,5,df,dez,2018,psico
Psicólogos/as,Total,14,0,0,0,14,df,jun,2018,psico
Médicos/as - psiquiatras,Total,3,0,0,0,3,df,jun,2018,psico
Psicólogos/as,Total,15,0,0,0,15,df,dez,2019,psico
Médicos/as - psiquiatras,Total,5,0,0,0,5,df,dez,2019,psico
Psicólogos/as,Total,12,0,0,0,12,df,jun,2019,psico
Médicos/as - psiquiatras,Total,5,0,0,0,5,df,jun,2019,psico
Psicólogos/as,Total,14,0,0,0,14,df,dez,2020,psico
Médicos/as - psiquiatras,Total,5,0,0,0,5,df,dez,2020,psico
Psicólogos/as,Total,13,0,0,0,13,df,jun,2020,psico
Médicos/as - psiquiatras,Total,4,0,0,0,4,df,jun,2020,psico
Psicólogos/as,Total,2,35,22,0,59,es,dez,2014,psico
Médicos/as - psiquiatras,Total,5,0,3,0,8,es,dez,2014,psico
Psicólogos/as,Total,1,33,25,0,59,es,jun,2014,psico
Médicos/as - psiquiatras,Total,5,0,5,1,11,es,jun,2014,psico
Psicólogos/as,Total,0,31,13,0,44,es,dez,2015,psico
Médicos/as - psiquiatras,Total,4,0,2,0,6,es,dez,2015,psico
Psicólogos/as,Total,2,32,18,0,52,es,dez,2016,psico
Médicos/as - psiquiatras,Total,4,0,3,0,7,es,dez,2016,psico
