level,masc,fem,total,uf,mes,ano,var
Óbitos naturais/ óbitos por motivos de saúde,0,0,0,ap,dez,2018,suic
Óbitos criminais,0,0,0,ap,dez,2018,suic
Óbitos suicídios,0,0,0,ap,dez,2018,suic
Óbitos acidentais,0,0,0,ap,dez,2018,suic
Óbitos com causa desconhecida,0,0,0,ap,dez,2018,suic
Óbitos naturais/ óbitos por motivos de saúde,0,0,0,ap,jun,2018,suic
Óbitos criminais,0,0,0,ap,jun,2018,suic
Óbitos suicídios,0,0,0,ap,jun,2018,suic
Óbitos acidentais,0,0,0,ap,jun,2018,suic
Óbitos com causa desconhecida,0,0,0,ap,jun,2018,suic
Óbitos naturais/ óbitos por motivos de saúde,0,0,0,ap,dez,2019,suic
Óbitos criminais,0,0,0,ap,dez,2019,suic
Óbitos suicídios,0,0,0,ap,dez,2019,suic
Óbitos acidentais,0,0,0,ap,dez,2019,suic
Óbitos com causa desconhecida,0,0,0,ap,dez,2019,suic
Óbitos naturais/ óbitos por motivos de saúde,0,0,0,ap,jun,2019,suic
Óbitos criminais,0,0,0,ap,jun,2019,suic
Óbitos suicídios,0,0,0,ap,jun,2019,suic
Óbitos acidentais,0,0,0,ap,jun,2019,suic
Óbitos com causa desconhecida,0,0,0,ap,jun,2019,suic
Óbitos naturais/ óbitos por motivos de saúde,1,0,1,ap,dez,2020,suic
Óbitos criminais,0,0,0,ap,dez,2020,suic
Óbitos suicídios,0,0,0,ap,dez,2020,suic
Óbitos acidentais,0,0,0,ap,dez,2020,suic
Óbitos com causa desconhecida,0,0,0,ap,dez,2020,suic
Óbitos naturais/ óbitos por motivos de saúde,0,0,0,ap,jun,2020,suic
Óbitos criminais,1,0,1,ap,jun,2020,suic
Óbitos suicídios,0,0,0,ap,jun,2020,suic
Óbitos acidentais,0,0,0,ap,jun,2020,suic
Óbitos com causa desconhecida,2,0,2,ap,jun,2020,suic
Óbitos naturais/ óbitos por motivos de saúde,8,2,10,ba,dez,2014,suic
Óbitos criminais,10,0,10,ba,dez,2014,suic
Óbitos suicídios,3,0,3,ba,dez,2014,suic
Óbitos acidentais,1,0,1,ba,dez,2014,suic
Óbitos com causa desconhecida,0,0,0,ba,dez,2014,suic
Óbitos naturais/ óbitos por motivos de saúde,5,1,6,ba,jun,2014,suic
Óbitos criminais,10,0,10,ba,jun,2014,suic
Óbitos suicídios,4,0,4,ba,jun,2014,suic
Óbitos acidentais,0,0,0,ba,jun,2014,suic
Óbitos com causa desconhecida,0,0,0,ba,jun,2014,suic
Óbitos naturais/ óbitos por motivos de saúde,14,0,14,ba,dez,2015,suic
Óbitos criminais,22,0,22,ba,dez,2015,suic
Óbitos suicídios,7,0,7,ba,dez,2015,suic
Óbitos acidentais,0,0,0,ba,dez,2015,suic
Óbitos com causa desconhecida,7,0,7,ba,dez,2015,suic
Óbitos naturais/ óbitos por motivos de saúde,11,0,11,ba,dez,2016,suic
Óbitos criminais,6,0,6,ba,dez,2016,suic
Óbitos suicídios,1,0,1,ba,dez,2016,suic
Óbitos acidentais,0,0,0,ba,dez,2016,suic
Óbitos com causa desconhecida,2,0,2,ba,dez,2016,suic
Óbitos naturais/ óbitos por motivos de saúde,8,1,9,ba,jun,2016,suic
Óbitos criminais,3,0,3,ba,jun,2016,suic
Óbitos suicídios,4,0,4,ba,jun,2016,suic
Óbitos acidentais,1,0,1,ba,jun,2016,suic
Óbitos com causa desconhecida,5,0,5,ba,jun,2016,suic
Óbitos naturais/ óbitos por motivos de saúde,11,0,11,ba,dez,2017,suic
Óbitos criminais,9,0,9,ba,dez,2017,suic
Óbitos suicídios,2,0,2,ba,dez,2017,suic
Óbitos acidentais,1,0,1,ba,dez,2017,suic
Óbitos com causa desconhecida,4,0,4,ba,dez,2017,suic
Óbitos naturais/ óbitos por motivos de saúde,15,0,15,ba,jun,2017,suic
Óbitos criminais,2,0,2,ba,jun,2017,suic
Óbitos suicídios,3,0,3,ba,jun,2017,suic
Óbitos acidentais,0,0,0,ba,jun,2017,suic
Óbitos com causa desconhecida,3,0,3,ba,jun,2017,suic
Óbitos naturais/ óbitos por motivos de saúde,6,1,7,ba,dez,2018,suic
Óbitos criminais,4,0,4,ba,dez,2018,suic
Óbitos suicídios,4,0,4,ba,dez,2018,suic
Óbitos acidentais,1,0,1,ba,dez,2018,suic
Óbitos com causa desconhecida,2,0,2,ba,dez,2018,suic
Óbitos naturais/ óbitos por motivos de saúde,10,0,10,ba,jun,2018,suic
Óbitos criminais,6,0,6,ba,jun,2018,suic
Óbitos suicídios,2,0,2,ba,jun,2018,suic
Óbitos acidentais,0,0,0,ba,jun,2018,suic
Óbitos com causa desconhecida,3,0,3,ba,jun,2018,suic
Óbitos naturais/ óbitos por motivos de saúde,8,0,8,ba,dez,2019,suic
Óbitos criminais,4,0,4,ba,dez,2019,suic
Óbitos suicídios,2,0,2,ba,dez,2019,suic
Óbitos acidentais,0,0,0,ba,dez,2019,suic
Óbitos com causa desconhecida,4,0,4,ba,dez,2019,suic
Óbitos naturais/ óbitos por motivos de saúde,12,0,12,ba,jun,2019,suic
Óbitos criminais,9,0,9,ba,jun,2019,suic
Óbitos suicídios,3,0,3,ba,jun,2019,suic
Óbitos acidentais,0,0,0,ba,jun,2019,suic
Óbitos com causa desconhecida,1,0,1,ba,jun,2019,suic
Óbitos naturais/ óbitos por motivos de saúde,14,0,14,ba,dez,2020,suic
Óbitos criminais,35,0,35,ba,dez,2020,suic
Óbitos suicídios,3,0,3,ba,dez,2020,suic
Óbitos acidentais,1,0,1,ba,dez,2020,suic
