level,value,uf,mes,ano,var
População carcerária por 100.000 habitantes,141.9481453490498,pi,jun,2020,pop
População carcerária,28004,pr,dez,2014,pop
População carcerária por 100.000 habitantes,252.16538605958718,pr,dez,2014,pop
População carcerária,28702,pr,jun,2014,pop
População carcerária por 100.000 habitantes,259.0037694604759,pr,jun,2014,pop
População carcerária,52608,pr,dez,2015,pop
População carcerária por 100.000 habitantes,471.2704037564035,pr,dez,2015,pop
População carcerária,46394,pr,dez,2016,pop
População carcerária por 100.000 habitantes,416.5,pr,dez,2016,pop
População carcerária,51700,pr,jun,2016,pop
População carcerária por 100.000 habitantes,459.85313162651033,pr,jun,2016,pop
População carcerária,41688,pr,dez,2017,pop
População carcerária por 100.000 habitantes,368.23953448191185,pr,dez,2017,pop
População carcerária,49889,pr,jun,2017,pop
População carcerária por 100.000 habitantes,441.92,pr,jun,2017,pop
População carcerária,34521,pr,dez,2018,pop
População carcerária por 100.000 habitantes,304.1782679734675,pr,dez,2018,pop
População carcerária,33718,pr,jun,2018,pop
População carcerária por 100.000 habitantes,297.10271543493457,pr,jun,2018,pop
População carcerária,29767,pr,dez,2019,pop
População carcerária por 100.000 habitantes,260.33856870373046,pr,dez,2019,pop
População carcerária,30078,pr,jun,2019,pop
População carcerária por 100.000 habitantes,263.05853695269275,pr,jun,2019,pop
População carcerária,72826,pr,dez,2020,pop
População carcerária por 100.000 habitantes,632.3435942498115,pr,dez,2020,pop
População carcerária,61540,pr,jun,2020,pop
População carcerária por 100.000 habitantes,534.3479635038778,pr,jun,2020,pop
População carcerária,40301,rj,dez,2014,pop
População carcerária por 100.000 habitantes,244.39398073168044,rj,dez,2014,pop
População carcerária,39321,rj,jun,2014,pop
População carcerária por 100.000 habitantes,238.8711910141519,rj,jun,2014,pop
População carcerária,55552,rj,dez,2015,pop
População carcerária por 100.000 habitantes,335.6611446605757,rj,dez,2015,pop
População carcerária,51065,rj,dez,2016,pop
População carcerária por 100.000 habitantes,308.5,rj,dez,2016,pop
População carcerária,50219,rj,jun,2016,pop
População carcerária por 100.000 habitantes,301.8695123514096,rj,jun,2016,pop
População carcerária,51360,rj,dez,2017,pop
População carcerária por 100.000 habitantes,307.1962148832738,rj,dez,2017,pop
População carcerária,52691,rj,jun,2017,pop
População carcerária por 100.000 habitantes,315.16,rj,jun,2017,pop
População carcerária,53106,rj,dez,2018,pop
População carcerária por 100.000 habitantes,309.476245865375,rj,dez,2018,pop
População carcerária,51029,rj,dez,2019,pop
População carcerária por 100.000 habitantes,295.5642541072971,rj,dez,2019,pop
População carcerária,53771,rj,jun,2019,pop
População carcerária por 100.000 habitantes,311.4461484176345,rj,jun,2019,pop
População carcerária,61777,rj,dez,2020,pop
População carcerária por 100.000 habitantes,355.7314733819838,rj,dez,2020,pop
População carcerária,48910,rj,jun,2020,pop
População carcerária por 100.000 habitantes,281.639224357169,rj,jun,2020,pop
População carcerária,7658,rn,dez,2014,pop
População carcerária por 100.000 habitantes,224.12698617103132,rn,dez,2014,pop
População carcerária,7081,rn,jun,2014,pop
População carcerária por 100.000 habitantes,207.74473303584264,rn,jun,2014,pop
População carcerária,7760,rn,dez,2015,pop
População carcerária por 100.000 habitantes,225.43885769898392,rn,dez,2015,pop
População carcerária,6493,rn,dez,2016,pop
